iter	RMSE
0	3710.749158
1	3415.225163
2	3147.108213
3	2906.652231
4	2690.041556
5	2495.224093
6	2322.367189
7	2165.16828
8	2026.615518
9	1901.73369
10	1787.151138
11	1688.630649
12	1602.052911
13	1523.995359
14	1455.487632
15	1396.592817
16	1341.088322
17	1294.95161
18	1252.797192
19	1216.459488
20	1185.513727
21	1160.347362
22	1137.180221
23	1117.645305
24	1099.156589
25	1084.633941
26	1071.568647
27	1059.099537
28	1049.520921
29	1041.273106
30	1033.871488
31	1027.941111
32	1021.805779
33	1016.793813
34	1012.940022
35	1009.025508
36	1006.066803
37	1002.928132
38	1000.155583
39	998.0468487
40	996.2186784
41	994.470086
42	993.0764321
43	991.8555108
44	990.7364488
45	989.7676079
46	988.7762605
47	987.7726457
48	987.0039466
49	986.1969476
50	985.5071199
51	984.7616117
52	984.256428
53	983.5643899
54	983.1086918
55	982.5853383
56	982.1550971
57	981.7896531
58	981.3556543
59	980.9936862
60	980.7422815
61	980.4641329
62	980.218416
63	980.0032294
64	979.6792716
65	979.467282
66	979.1977384
67	978.8756013
68	978.6218849
69	978.3483329
70	978.2013038
71	977.9457455
72	977.5980517
73	977.2567303
74	977.0046145
75	976.7547445
76	976.5368575
77	976.3531884
78	976.2388128
79	976.1201669
80	975.938722
81	975.8178509
82	975.6280768
83	975.4557899
84	975.3100113
85	975.1389694
86	974.9887776
87	974.8490445
88	974.7071534
89	974.570009
90	974.4396049
91	974.1965633
92	974.0247845
93	973.9453997
94	973.8273937
95	973.7509819
96	973.6061096
97	973.4332927
98	973.2421997
99	973.1358967
100	972.9712292
101	972.8512198
102	972.7388864
103	972.5775618
104	972.4673013
105	972.2744907
106	972.1410118
107	972.0540254
108	971.923217
109	971.7345312
110	971.6676301
111	971.5611625
112	971.4077376
113	971.3606245
114	971.2836083
115	971.164351
116	971.0199598
117	970.9391876
118	970.8343019
119	970.7106156
120	970.5858609
121	970.5292505
122	970.4177257
123	970.2897319
124	970.2070976
125	970.1570031
126	970.0520652
127	969.9737151
128	969.8796371
129	969.7215415
130	969.6624063
131	969.4874388
132	969.4280766
133	969.3780066
134	969.326391
135	969.1608069
136	968.9947932
137	968.9039345
138	968.7294083
139	968.6718289
140	968.5450473
141	968.4946963
142	968.4486892
143	968.3168681
144	968.2122503
145	968.0284369
146	967.9843386
147	967.9127498
148	967.8747607
149	967.8097775
150	967.7544854
151	967.7353057
152	967.5536061
153	967.4258876
154	967.2677586
155	967.11571
156	967.0684987
157	966.9436577
158	966.8802918
159	966.7929546
160	966.7511221
161	966.5920893
162	966.4978942
163	966.4592829
164	966.4057103
165	966.3353247
166	966.2387093
167	966.0918792
168	966.0680728
169	966.0340743
170	965.9308656
171	965.8516136
172	965.7284876
173	965.6541484
174	965.5246995
175	965.385466
176	965.3262182
177	965.323395
178	965.2140925
179	965.1289568
180	965.0859572
181	964.991479
182	964.7860582
183	964.7290916
184	964.6283422
185	964.6255872
186	964.5687409
187	964.481139
188	964.3924824
189	964.3899926
190	964.2635331
191	964.1295357
192	964.1192475
193	964.007281
194	963.9975989
195	963.9953155
196	963.9302478
197	963.8356369
198	963.7425976
199	963.6962372
200	963.5809301
201	963.4819863
202	963.3889959
203	963.3429831
204	963.2176834
205	963.1199188
206	963.0730346
207	963.0031271
208	962.9540161
209	962.8427681
210	962.8257533
211	962.6612673
212	962.5120933
213	962.4117959
214	962.3381859
215	962.2548882
216	962.1792775
217	962.1321824
218	962.0294466
219	961.9469396
220	961.8450713
221	961.8429102
222	961.7773515
223	961.6999182
224	961.6917468
225	961.599546
226	961.5847989
227	961.5142774
228	961.4285415
229	961.3877376
230	961.2857929
231	961.1738707
232	961.0412889
233	961.0151084
234	960.9227096
235	960.8926412
236	960.8061375
237	960.7716226
238	960.6808349
239	960.5721716
240	960.4204945
241	960.2431491
242	960.1791439
243	960.1485788
244	959.9996206
245	959.924517
246	959.8460075
247	959.6726224
248	959.5980871
249	959.5392649
250	959.5049843
251	959.4672959
252	959.4363444
253	959.3819807
254	959.3721747
255	959.3673776
256	959.3497745
257	959.2740636
258	959.1372075
259	959.1304078
260	959.0580082
261	958.9279283
262	958.8805741
263	958.8061173
264	958.6971318
265	958.6442781
266	958.6289362
267	958.5435717
268	958.5047616
269	958.4088688
270	958.3624549
271	958.3125622
272	958.1929589
273	958.0872708
274	957.9574713
275	957.8886879
276	957.8239478
277	957.8196253
278	957.7129424
279	957.6682208
280	957.6634227
281	957.586803
282	957.4726103
283	957.3672773
284	957.2711483
285	957.2171556
286	957.2064885
287	957.2007352
288	957.1242215
289	957.0499804
290	956.9744295
291	956.9419654
292	956.8859974
293	956.8286253
294	956.7744877
295	956.6170666
296	956.5514921
297	956.4646584
298	956.3248045
299	956.2178387
300	956.1728001
301	956.1650356
302	956.0430175
303	956.0358622
304	956.0102911
305	955.9369994
306	955.8668179
307	955.7450265
308	955.6457024
309	955.5952484
310	955.5443559
311	955.5190341
312	955.4259405
313	955.2972751
314	955.2556687
315	955.1844316
316	955.1286349
317	955.1226078
318	955.0385149
319	954.9288433
320	954.8104875
321	954.7469487
322	954.6862662
323	954.5915634
324	954.5281
325	954.5247439
326	954.4370719
327	954.3909487
328	954.2562827
329	954.1360317
330	954.070283
331	953.9900474
332	953.8457335
333	953.751982
334	953.7414625
335	953.7143949
336	953.7070677
337	953.6300222
338	953.5370042
339	953.4215455
340	953.3150292
341	953.2009027
342	953.1274161
343	953.0654483
344	952.9793203
345	952.9044387
346	952.8151734
347	952.6789133
348	952.6154542
349	952.5489492
350	952.4863957
351	952.4452928
352	952.4377926
353	952.3837234
354	952.3768287
355	952.3342991
356	952.2776126
357	952.1909067
358	952.1562626
359	952.0964516
360	952.0577942
361	951.9537246
362	951.8980469
363	951.8146137
364	951.7722787
365	951.6937577
366	951.6868065
367	951.6635932
368	951.5710096
369	951.5309436
370	951.4686556
371	951.4074163
372	951.309134
373	951.304073
374	951.2434936
375	951.1560913
376	951.1024784
377	950.9797038
378	950.9161239
379	950.8339533
380	950.7366965
381	950.6666602
382	950.590879
383	950.5427509
384	950.4942869
385	950.4887392
386	950.4364023
387	950.3786935
388	950.3737097
389	950.2362849
390	950.2315808
391	950.0919
392	950.0176737
393	949.9320281
394	949.892438
395	949.7505622
396	949.7011146
397	949.6504891
398	949.6460422
399	949.5877635
400	949.5490373
401	949.4498943
402	949.3835163
403	949.3098591
404	949.216085
405	949.1566885
406	949.0820878
407	949.0471214
408	948.962851
409	948.8952271
410	948.8294941
411	948.7634092
412	948.7278861
413	948.7076396
414	948.6410527
415	948.5764844
416	948.5268526
417	948.4479939
418	948.3616391
419	948.2993231
420	948.2514749
421	948.205144
422	948.0887665
423	947.9947761
424	947.8659512
425	947.779791
426	947.7501346
427	947.6872396
428	947.641686
429	947.6127334
430	947.5549838
431	947.4639102
432	947.4374439
433	947.3448128
434	947.2863936
435	947.1724057
436	947.0902718
437	947.07259
438	946.9781983
439	946.953861
440	946.9110511
441	946.9055221
442	946.8904592
443	946.8580793
444	946.8538302
445	946.7886854
446	946.729787
447	946.6963657
448	946.6472383
449	946.5911484
450	946.5071936
451	946.4300406
452	946.3752009
453	946.3601412
454	946.3058587
455	946.2000712
456	946.1682919
457	946.0170277
458	945.9957291
459	945.9071405
460	945.8334271
461	945.7194046
462	945.6008785
463	945.5818325
464	945.509794
465	945.4861012
466	945.4070592
467	945.3296606
468	945.2649592
469	945.1612632
470	945.1441336
471	945.0491082
472	945.0169753
473	944.9341206
474	944.9266412
475	944.9213472
476	944.8866554
477	944.8234544
478	944.7465362
479	944.6749435
480	944.5464444
481	944.4807061
482	944.4077249
483	944.3645983
484	944.3199615
485	944.2929984
486	944.2399852
487	944.2079152
488	944.1986054
489	944.1629668
490	944.0574555
491	943.9800532
492	943.9305975
493	943.8879236
494	943.8083503
495	943.7460257
496	943.6333227
