iter	Passed	Remaining
0	220	220235
1	248	123758
2	276	91757
3	313	77946
4	342	68058
5	397	65855
6	519	73637
7	615	76375
8	694	76511
9	751	74391
10	802	72160
11	851	70104
12	901	68424
13	943	66458
14	982	64487
15	1028	63274
16	1094	63302
17	1156	63091
18	1243	64195
19	1292	63320
20	1333	62144
21	1368	60831
22	1409	59885
23	1462	59468
24	1518	59218
25	1562	58525
26	1601	57709
27	1642	57024
28	1682	56326
29	1719	55604
30	1752	54770
31	1787	54077
32	1816	53238
33	1847	52484
34	1877	51771
35	1907	51080
36	1935	50382
37	1968	49822
38	1997	49232
39	2024	48586
40	2051	47980
41	2080	47461
42	2106	46878
43	2135	46394
44	2164	45935
45	2196	45560
46	2224	45113
47	2249	44622
48	2282	44299
49	2311	43914
50	2338	43517
51	2533	46183
52	2603	46514
53	2657	46547
54	2735	47003
55	2779	46853
56	2811	46509
57	2840	46137
58	2873	45837
59	2902	45468
60	2929	45092
61	2960	44786
62	2990	44475
63	3015	44095
64	3046	43816
65	3083	43629
66	3113	43351
67	3145	43107
68	3179	42905
69	3208	42628
70	3232	42296
71	3257	41985
72	3291	41795
73	3320	41548
74	3345	41256
75	3378	41073
76	3407	40851
77	3484	41189
78	3528	41137
79	3562	40971
80	3606	40923
81	3641	40761
82	3677	40634
83	3711	40472
84	3754	40411
85	3791	40299
86	3823	40128
87	3851	39918
88	3883	39746
89	3916	39600
90	3955	39515
91	3985	39333
92	4020	39210
93	4072	39248
94	4106	39119
95	4132	38911
96	4158	38712
97	4186	38531
98	4215	38363
99	4243	38190
100	4272	38031
101	4303	37884
102	4384	38180
103	4428	38154
104	4471	38111
105	4512	38058
106	4579	38218
107	4646	38373
108	4693	38365
109	4746	38403
110	4784	38317
111	4823	38243
112	4866	38200
113	5002	38881
114	5032	38726
115	5064	38591
116	5113	38590
117	5164	38598
118	5233	38742
119	5277	38699
120	5313	38597
121	5356	38548
122	5400	38503
123	5461	38580
124	5489	38424
125	5556	38542
126	5611	38571
127	5649	38490
128	5690	38423
129	5739	38410
130	5775	38310
131	5814	38237
132	5853	38160
133	5879	38000
134	5913	37893
135	5945	37772
136	5974	37633
137	6005	37514
138	6073	37619
139	6107	37516
140	6142	37423
141	6188	37390
142	6217	37264
143	6254	37180
144	6295	37123
145	6342	37096
146	6405	37166
147	6440	37075
148	6510	37184
149	6558	37167
150	6601	37115
151	6625	36961
152	6703	37111
153	6761	37145
154	6807	37113
155	6861	37124
156	6911	37108
157	6945	37012
158	6990	36973
159	7025	36882
160	7060	36794
161	7098	36719
162	7126	36593
163	7154	36470
164	7184	36360
165	7212	36238
166	7238	36105
167	7275	36032
168	7298	35887
169	7326	35768
170	7351	35640
171	7378	35519
172	7412	35436
173	7440	35320
174	7466	35198
175	7494	35086
176	7516	34947
177	7539	34819
178	7567	34710
179	7595	34600
180	7616	34462
181	7649	34380
182	7683	34304
183	7710	34192
184	7739	34095
185	7762	33970
186	7784	33842
187	7809	33732
188	7837	33630
189	7860	33508
190	7887	33408
191	7913	33302
192	7936	33186
193	7965	33094
194	7988	32979
195	8009	32855
196	8035	32752
197	8107	32838
198	8162	32856
199	8205	32823
200	8246	32782
201	8289	32749
202	8327	32694
203	8359	32619
204	8402	32583
205	8440	32531
206	8471	32455
207	8506	32390
208	8549	32355
209	8578	32273
210	8603	32171
211	8632	32087
212	8668	32030
213	8707	31980
214	8798	32124
215	8841	32089
216	8904	32130
217	8957	32131
218	9053	32287
219	9105	32281
220	9153	32263
221	9184	32187
222	9223	32138
223	9276	32137
224	9310	32068
225	9350	32022
226	9379	31939
227	9429	31926
228	9472	31891
229	9503	31816
230	9569	31856
231	9612	31820
232	9687	31889
233	9733	31863
234	9766	31791
235	9808	31752
236	9852	31718
237	9882	31640
238	9919	31586
239	9960	31540
240	9999	31491
241	10030	31416
242	10055	31326
243	10080	31234
244	10114	31168
245	10137	31071
246	10171	31009
247	10202	30935
248	10266	30965
249	10303	30911
250	10338	30851
251	10371	30784
252	10408	30730
253	10444	30676
254	10485	30635
255	10525	30590
256	10563	30539
257	10598	30479
258	10635	30427
259	10662	30346
260	10687	30260
261	10719	30193
262	10758	30149
263	10784	30067
264	10814	29995
265	10851	29942
266	10896	29915
267	10929	29851
268	10961	29788
269	10991	29717
270	11016	29635
271	11043	29556
272	11127	29631
273	11181	29626
274	11214	29565
275	11247	29504
276	11289	29465
277	11333	29433
278	11389	29433
279	11425	29380
280	11451	29301
281	11510	29307
282	11597	29383
283	11630	29321
284	11664	29263
285	11706	29224
286	11758	29210
287	11827	29240
288	11877	29220
289	11915	29172
290	11978	29183
291	12025	29157
292	12078	29144
293	12131	29132
294	12163	29069
295	12205	29028
296	12245	28985
297	12279	28927
298	12332	28912
299	12372	28870
300	12409	28817
301	12433	28737
302	12474	28696
303	12501	28620
304	12535	28564
305	12564	28495
306	12592	28426
307	12625	28366
308	12653	28297
309	12683	28229
310	12711	28161
311	12740	28093
312	12774	28038
313	12809	27984
314	12844	27932
315	12880	27880
316	12911	27818
317	12938	27748
318	12969	27686
319	13001	27627
320	13038	27580
321	13082	27546
322	13121	27501
323	13157	27451
324	13198	27411
325	13229	27350
326	13264	27300
327	13288	27225
328	13315	27157
329	13347	27098
330	13373	27029
331	13404	26970
332	13433	26907
333	13459	26839
334	13496	26790
335	13523	26725
336	13548	26655
337	13578	26594
338	13614	26545
339	13640	26479
340	13668	26415
341	13695	26350
342	13720	26280
343	13746	26214
344	13773	26150
345	13799	26083
346	13826	26019
347	13852	25953
348	13880	25892
349	13903	25820
350	13930	25757
351	13953	25686
352	13978	25620
353	14002	25552
354	14028	25488
355	14061	25437
356	14091	25380
357	14118	25318
358	14148	25263
359	14178	25205
360	14201	25138
361	14233	25084
362	14271	25044
363	14313	25009
364	14342	24951
365	14369	24891
366	14392	24824
367	14415	24757
368	14444	24700
369	14473	24643
370	14497	24579
371	14521	24515
372	14549	24457
373	14570	24387
374	14594	24324
375	14621	24265
376	14645	24202
377	14677	24152
378	14705	24095
379	14733	24038
380	14764	23987
381	14787	23923
382	14814	23864
383	14837	23801
384	14866	23748
385	14891	23688
386	14917	23628
387	14940	23566
388	14963	23503
389	14991	23447
